Area,Bedrooms,Bathrooms,Floors,YearBuilt,DistanceToCity,LocationScore,Price
1260,2,1,2,1985,1.131557688256246,4,703892
4172,2,3,1,1960,13.427760361490117,7,1405741
3492,5,2,2,1952,25.732171276217073,1,984664
866,1,3,2,1988,28.415415242919373,3,289332
4826,2,1,3,1959,27.02701577490337,5,862888
3844,4,2,2,2000,29.200489025787387,8,1466924
3571,1,2,2,1981,19.764734942365198,8,1142557
3319,5,4,1,2001,7.367581859786551,3,1472102
530,3,3,3,2021,17.473774048400553,5,891063
2085,5,3,3,1996,12.923746720201391,9,1451651
1169,5,3,2,1962,8.130250976724263,2,724813
2791,1,1,3,2016,23.297191270140246,7,1072853
2833,1,1,3,2002,19.0613625325369,7,963579
1584,4,2,3,2002,23.808074148425725,2,578057
4955,4,2,1,1964,8.449974700593415,6,1633174
3785,1,1,1,2002,27.164594095740572,8,1110383
4517,1,3,3,1991,7.542055327615567,3,1274688
3304,1,3,3,1978,18.256711206498956,9,1475174
874,3,1,2,1996,2.1783925702921767,8,1131721
1482,5,3,3,1979,16.458445918220434,3,904837
2958,4,1,1,1963,3.4123405896467336,7,1219356
2447,4,3,2,2008,10.300339401904425,8,1725724
3147,2,3,1,2013,25.890333131578707,1,802608
1375,3,4,1,1993,26.85905579664631,3,598493
2206,1,2,1,1963,23.1353066501466,10,1082672
589,1,3,1,1974,11.347261861178717,9,1011617
3134,3,3,1,1993,17.57232304218322,7,1441647
3405,4,1,2,2010,7.107379508786976,1,961708
2299,1,4,1,1951,20.511301256755864,5,769589
1667,2,4,3,2023,10.748389042834598,10,1578166
1928,4,1,2,1992,7.0194587566811615,3,980341
3602,5,1,3,1958,17.756625558046146,2,1042506
3956,3,1,2,2010,3.7981646453429048,1,1378103
4290,4,3,3,2016,20.757619928197144,2,1213165
1046,5,1,1,1973,6.01666003539622,1,624405
3288,2,2,3,2014,16.826933149004102,6,1426211
2835,3,1,1,1987,12.0790003355891,9,1284896
1000,1,3,2,2019,17.204218967712787,3,581121
2763,1,2,1,1954,7.755875158326454,10,1441042
2461,5,3,3,2017,9.656484904414553,10,1616704
641,4,2,1,2016,4.639472282048145,1,598569
2441,2,2,1,1979,23.420486541679537,6,873626
3224,5,2,2,2011,2.56830472954288,6,1742700
3012,2,3,1,1956,11.604818120114448,2,970478
1763,2,2,2,2000,13.748355293904561,4,764521
1878,2,4,3,1981,6.258583248513026,5,1063902
2956,3,4,2,2023,11.85223765823344,6,1518442
1175,5,3,3,1975,12.833602522202876,6,1078288
4414,3,4,3,1992,7.117746534076842,2,1534522
434,4,2,1,2011,19.358044391201535,5,826212
3552,4,1,2,1980,1.410193156416107,5,1260598
2355,1,1,3,1972,6.328157583256692,10,1363491
